Step,Veh_ID,Latitud,Longitud,Vel_SUMO_kmh,Vel_Usada_kmh,Vel_Real_kmh,Error_kmh,CO2_mg_s,X,Y
13,veh_17,-0.3297066666666666,-78.43631111111111,9.360000000000001,48.71960735321045,51.0,-2.280392646789551,4326.9573464000005,15128.405641067844,12533.90998527556
14,veh_23,-0.3849077777777778,-78.52072,9.360000000000001,23.0034077167511,15.0,8.003407716751099,4326.9573464000005,5724.069936973961,6429.946064992751
15,veh_24,-0.334125,-78.44004444444444,9.360000000000001,22.217008352279663,33.0,-10.782991647720337,4326.9573464000005,14708.079430361004,12050.328272023577
16,veh_14,-0.3381127777777777,-78.4448,9.360000000000001,25.819029331207275,22.0,3.8190293312072754,4326.9573464000005,14180.154888279914,11606.892029836565
17,veh_8,-0.3942655555555555,-78.52841777777778,9.360000000000001,29.192336916923523,32.0,-2.807663083076477,4326.9573464000005,4866.475031281976,5395.059938895898
18,veh_8,-0.40424,-78.53954666666667,18.720000000000002,19.349464416503903,24.0,-4.650535583496097,5459.010835200001,3626.954030591063,4295.722423163296
19,veh_29,-0.3196311111111111,-78.44235555555555,9.360000000000001,64.04380428791046,68.0,-3.9561957120895386,4326.9573464000005,14454.442418771036,13648.896300610551
20,veh_21,-0.3868722222222222,-78.51494222222222,9.360000000000001,32.27560472488403,27.0,5.275604724884033,4326.9573464000005,6368.047088122881,6212.845829345898
21,veh_9,-0.4065366666666666,-78.54665777777778,9.360000000000001,27.81912338733673,42.0,-14.180876612663269,4326.9573464000005,2835.540919317561,4037.1701844545205
22,veh_16,-0.3446627777777777,-78.45553777777778,9.360000000000001,35.53143799304962,40.0,-4.468562006950378,4326.9573464000005,12986.08452050483,10880.358865683706
23,veh_6,-0.3695766666666666,-78.47951111111111,4.838691234588623,4.838691234588623,8.0,-3.161308765411377,2724.222603929072,10314.647714593068,8126.5927348176065
24,veh_18,-0.4008833333333333,-78.53315555555555,9.360000000000001,52.08827531337738,56.0,-3.9117246866226196,4326.9573464000005,4337.084975431311,4663.853486804855
25,veh_18,-0.3442361111111111,-78.45473777777778,18.720000000000002,21.610855102539062,19.0,2.6108551025390625,5459.010835200001,13073.811682110727,10929.669534195065
26,veh_15,-0.3075455555555555,-78.4476,5.099381685256958,5.099381685256958,13.0,-7.900618314743042,2803.645104680555,13871.029392198892,14985.186721289414
27,veh_24,-0.3758,-78.49806222222222,9.360000000000001,54.73129057884216,49.0,5.731290578842163,4326.9573464000005,8249.144553264525,7437.682924264394
28,veh_14,-0.3903622222222222,-78.52541333333333,9.360000000000001,22.391748189926147,21.0,1.3917481899261475,4326.9573464000005,5202.079149349842,5826.008971828341
29,veh_24,-0.3875644444444444,-78.5234488888889,9.360000000000001,13.275732159614565,16.0,-2.7242678403854352,4326.9573464000005,5420.755768173435,6135.622847790998
30,veh_18,-0.3200733333333333,-78.44235555555555,30.970855102539062,56.834566593170166,55.0,1.834566593170166,7163.270742771985,14456.3288459743,13599.917325952001
31,veh_17,-0.3854194444444444,-78.50915555555555,9.360000000000001,15.19941520690918,17.0,-1.8005847930908203,4326.9573464000005,7011.944474458187,6373.711385218831
32,veh_8,-0.3171605555555555,-78.44215111111112,9.360000000000001,52.31140577793121,59.0,-6.688594222068787,4326.9573464000005,14477.092893678368,13922.337594189132
33,veh_6,-0.3755044444444444,-78.49349333333333,14.198691234588624,55.61393761634827,49.0,6.613937616348267,4894.728516988303,8757.632931347358,7469.782783164596
34,veh_26,-0.3737583333333333,-78.49008,9.360000000000001,41.12859380245209,52.0,-10.871406197547913,4326.9573464000005,9137.964159653739,7662.064935474272
35,veh_13,-0.315325,-78.44203555555555,0.0,-7.229390144348144,0.0,-7.229390144348144,1521.0,14490.576280438843,14125.337592429329
36,veh_8,-0.3281061111111111,-78.43746666666667,53.4974867105484,53.4974867105484,60.0,-6.502513289451599,3273.725252023546,14998.36393808763,12709.450453221332
37,veh_22,-0.4039616666666666,-78.53768,9.360000000000001,52.8973925113678,45.0,7.897392511367798,4326.9573464000005,3834.80854303131,4326.90295244727
38,veh_5,-0.3923372222222222,-78.52690666666666,9.360000000000001,17.408390641212463,20.0,-2.5916093587875366,4326.9573464000005,5035.87071784962,5607.429173071473
