Nº,Fecha y Hora de Registro,Velocidad (Km/h),Latitud,Longitud,FechaHora,Dia,delta_t_s,delta_v,delta_lat,delta_lon,Vel_Pred_kmh
6,2025-12-19 06:20:10,35.0,-0.4120988888888889,-78.5472,2025-12-19 06:20:10,2025-12-19,1.791759469228055,5.333333333333329,-0.0001972222222222,-0.0004800000000102,41.39301300048828
12,2025-12-19 06:20:19,32.0,-0.4116861111111111,-78.54755555555556,2025-12-19 06:20:19,2025-12-19,2.302585092994046,-12.999999999999996,0.0004127777777778,-0.0003555555555578,23.192734241485596
27,2025-12-19 06:21:12,10.0,-0.3892688888888889,-78.52060444444444,2025-12-19 06:21:12,2025-12-19,3.9889840465642745,-2.666666666666668,0.001,0.001,4.339501857757568
5,2025-12-19 06:21:31,27.0,-0.3890716666666666,-78.51937777777778,2025-12-19 06:21:31,2025-12-19,2.995732273553991,11.666666666666664,0.0001972222222222,0.001,25.785477876663208
13,2025-12-19 06:21:38,67.0,-0.2909455555555555,-78.4648888888889,2025-12-19 06:21:38,2025-12-19,2.079441541679836,3.333333333333336,0.001,0.001,73.14149332046509
14,2025-12-19 06:21:46,20.0,-0.372725,-78.48827555555556,2025-12-19 06:21:46,2025-12-19,2.19722457733622,-5.333333333333336,-0.001,-0.001,20.55208444595337
30,2025-12-19 06:21:55,11.0,-0.3960388888888889,-78.52884444444445,2025-12-19 06:21:55,2025-12-19,2.302585092994046,-13.666666666666664,-0.001,-0.001,-4.7507529854774475
9,2025-12-19 06:22:27,26.0,-0.3447594444444444,-78.45573333333333,2025-12-19 06:22:27,2025-12-19,3.49650756146648,-1.666666666666668,0.001,0.001,22.480998992919922
20,2025-12-19 06:22:31,15.0,-0.3230855555555555,-78.44091555555555,2025-12-19 06:22:31,2025-12-19,1.6094379124341005,12.0,0.001,0.001,21.113390922546387
1,2025-12-19 06:23:00,47.0,-0.2792138888888889,-78.47696,2025-12-19 06:23:00,2025-12-19,3.4011973816621555,-8.666666666666664,0.001,-0.001,40.04322600364685
17,2025-12-19 06:23:04,0.0,-0.2999222222222222,-78.45896888888889,2025-12-19 06:23:04,2025-12-19,1.6094379124341005,-1.0,-0.001,0.001,2.927098274230957
21,2025-12-19 06:23:31,12.0,-0.3714522222222222,-78.48584,2025-12-19 06:23:31,2025-12-19,3.332204510175204,-6.000000000000002,-0.001,-0.001,3.1518412828445435
10,2025-12-19 06:23:45,29.0,-0.3787672222222222,-78.50450666666667,2025-12-19 06:23:45,2025-12-19,2.70805020110221,7.000000000000002,-0.001,-0.001,33.93199586868286
9,2025-12-19 06:23:51,21.0,-0.2984955555555555,-78.46012444444445,2025-12-19 06:23:51,2025-12-19,1.9459101490553128,11.333333333333332,0.001,0.001,13.835884094238281
18,2025-12-19 06:24:18,46.0,-0.2793,-78.47636444444444,2025-12-19 06:24:18,2025-12-19,3.332204510175204,13.0,0.001,-0.001,42.28024458885193
20,2025-12-19 06:24:36,68.0,-0.2942694444444444,-78.46274666666666,2025-12-19 06:24:36,2025-12-19,2.9444389791664403,-0.3333333333333357,-0.001,0.001,67.34174835681915
14,2025-12-19 06:24:58,20.0,-0.386565,-78.51192888888889,2025-12-19 06:24:58,2025-12-19,3.1354942159291497,4.666666666666671,-0.001,-0.001,10.246611833572388
8,2025-12-19 06:25:28,60.0,-0.2768455555555555,-78.48617777777778,2025-12-19 06:25:28,2025-12-19,3.4339872044851463,-3.333333333333336,0.001,0.001,47.068541049957275
27,2025-12-19 06:25:57,58.0,-0.3065038888888889,-78.44934222222223,2025-12-19 06:25:57,2025-12-19,3.4011973816621555,9.333333333333336,-0.001,0.001,58.9806227684021
