"Fecha y Hora del Equipo","Fecha y Hora de Registro","Velocidad (Km/h)","Latitud","Longitud"
"2025-11-27 13:04:54","2025-11-27 13:04:55","66.00","-0.31141555555555556","-78.442"
"2025-11-27 13:04:59","2025-11-27 13:05:00","57.00","-0.3122066666666667","-78.44191111111111"
"2025-11-27 13:05:04","2025-11-27 13:05:05","49.00","-0.31287611111111113","-78.442"
"2025-11-27 13:05:09","2025-11-27 13:05:11","50.00","-0.313505","-78.44205333333333"
"2025-11-27 13:05:14","2025-11-27 13:05:16","36.00","-0.3140661111111111","-78.44210666666666"
"2025-11-27 13:05:19","2025-11-27 13:05:21","42.00","-0.3145516666666667","-78.44214222222222"
"2025-11-27 13:05:24","2025-11-27 13:05:26","34.00","-0.31504944444444444","-78.44216"
"2025-11-27 13:05:29","2025-11-27 13:05:31","13.00","-0.3153783333333333","-78.44219555555556"
"2025-11-27 13:05:44","2025-11-27 13:05:46","0","-0.3153238888888889","-78.44217777777777"
"2025-11-27 13:06:19","2025-11-27 13:06:20","14.00","-0.3154527777777778","-78.44224888888888"
"2025-11-27 13:06:24","2025-11-27 13:06:25","33.00","-0.3157433333333333","-78.44230222222222"
"2025-11-27 13:06:29","2025-11-27 13:06:30","46.00","-0.316275","-78.44228444444444"
"2025-11-27 13:06:34","2025-11-27 13:06:35","55.00","-0.3169322222222222","-78.44230222222222"
"2025-11-27 13:06:39","2025-11-27 13:06:40","66.00","-0.317725","-78.44236444444445"
"2025-11-27 13:06:44","2025-11-27 13:06:45","72.00","-0.318625","-78.44242666666666"
"2025-11-27 13:06:49","2025-11-27 13:06:50","74.00","-0.3195577777777778","-78.44248888888889"
"2025-11-27 13:06:54","2025-11-27 13:06:55","57.00","-0.32039666666666666","-78.44252444444444"
"2025-11-27 13:06:59","2025-11-27 13:07:00","23.00","-0.32094333333333336","-78.44255111111111"
"2025-11-27 13:07:19","2025-11-27 13:07:21","8.00","-0.32101277777777776","-78.44252444444444"
"2025-11-27 13:07:24","2025-11-27 13:07:26","28.00","-0.3212461111111111","-78.44247111111112"
"2025-11-27 13:07:29","2025-11-27 13:07:31","41.00","-0.3216611111111111","-78.44231111111111"
"2025-11-27 13:07:34","2025-11-27 13:07:36","48.00","-0.32214777777777776","-78.44201777777778"
"2025-11-27 13:07:39","2025-11-27 13:07:41","61.00","-0.3226038888888889","-78.44150222222223"
"2025-11-27 13:07:44","2025-11-27 13:07:46","60.00","-0.3231483333333333","-78.4409511111111"
"2025-11-27 13:07:49","2025-11-27 13:07:50","56.00","-0.32381611111111114","-78.44069333333333"
